image,ua,us,g,run
g001\a001_s001_g001_0070.T.CW.mat,0.05,10,-1,70
g001\a001_s001_g001_0071.T.CW.mat,0.05,10,-1,71
g001\a001_s001_g001_0072.T.CW.mat,0.05,10,-1,72
g001\a001_s001_g001_0073.T.CW.mat,0.05,10,-1,73
g001\a001_s001_g001_0074.T.CW.mat,0.05,10,-1,74
g001\a001_s001_g001_0075.T.CW.mat,0.05,10,-1,75
g001\a001_s001_g001_0076.T.CW.mat,0.05,10,-1,76
g001\a001_s001_g001_0077.T.CW.mat,0.05,10,-1,77
g001\a001_s001_g001_0078.T.CW.mat,0.05,10,-1,78
g001\a001_s001_g001_0079.T.CW.mat,0.05,10,-1,79
g001\a001_s001_g001_0080.T.CW.mat,0.05,10,-1,80
g001\a001_s001_g001_0081.T.CW.mat,0.05,10,-1,81
g001\a001_s001_g001_0082.T.CW.mat,0.05,10,-1,82
g001\a001_s001_g001_0083.T.CW.mat,0.05,10,-1,83
g001\a001_s001_g001_0084.T.CW.mat,0.05,10,-1,84
g001\a001_s001_g001_0085.T.CW.mat,0.05,10,-1,85
g001\a001_s001_g001_0086.T.CW.mat,0.05,10,-1,86
g001\a001_s001_g001_0087.T.CW.mat,0.05,10,-1,87
g001\a001_s001_g001_0088.T.CW.mat,0.05,10,-1,88
g001\a001_s001_g001_0089.T.CW.mat,0.05,10,-1,89
g001\a001_s001_g001_0090.T.CW.mat,0.05,10,-1,90
g001\a001_s001_g001_0091.T.CW.mat,0.05,10,-1,91
g001\a001_s001_g001_0092.T.CW.mat,0.05,10,-1,92
g001\a001_s001_g001_0093.T.CW.mat,0.05,10,-1,93
g001\a001_s001_g001_0094.T.CW.mat,0.05,10,-1,94
g001\a001_s001_g001_0095.T.CW.mat,0.05,10,-1,95
g001\a001_s001_g001_0096.T.CW.mat,0.05,10,-1,96
g001\a001_s001_g001_0097.T.CW.mat,0.05,10,-1,97
g001\a001_s001_g001_0098.T.CW.mat,0.05,10,-1,98
g001\a001_s001_g001_0099.T.CW.mat,0.05,10,-1,99
g001\a001_s001_g001_0100.T.CW.mat,0.05,10,-1,100
g002\a001_s001_g002_0001.T.CW.mat,0.05,10,-0.975,1
g002\a001_s001_g002_0002.T.CW.mat,0.05,10,-0.975,2
g002\a001_s001_g002_0003.T.CW.mat,0.05,10,-0.975,3
g002\a001_s001_g002_0004.T.CW.mat,0.05,10,-0.975,4
g002\a001_s001_g002_0005.T.CW.mat,0.05,10,-0.975,5
g002\a001_s001_g002_0006.T.CW.mat,0.05,10,-0.975,6
g002\a001_s001_g002_0007.T.CW.mat,0.05,10,-0.975,7
g002\a001_s001_g002_0008.T.CW.mat,0.05,10,-0.975,8
g002\a001_s001_g002_0009.T.CW.mat,0.05,10,-0.975,9
g002\a001_s001_g002_0010.T.CW.mat,0.05,10,-0.975,10
g002\a001_s001_g002_0011.T.CW.mat,0.05,10,-0.975,11
g002\a001_s001_g002_0012.T.CW.mat,0.05,10,-0.975,12
g002\a001_s001_g002_0013.T.CW.mat,0.05,10,-0.975,13
g002\a001_s001_g002_0014.T.CW.mat,0.05,10,-0.975,14
g002\a001_s001_g002_0015.T.CW.mat,0.05,10,-0.975,15
g002\a001_s001_g002_0016.T.CW.mat,0.05,10,-0.975,16
g002\a001_s001_g002_0017.T.CW.mat,0.05,10,-0.975,17
g002\a001_s001_g002_0018.T.CW.mat,0.05,10,-0.975,18
g002\a001_s001_g002_0019.T.CW.mat,0.05,10,-0.975,19
g002\a001_s001_g002_0020.T.CW.mat,0.05,10,-0.975,20
g002\a001_s001_g002_0021.T.CW.mat,0.05,10,-0.975,21
g002\a001_s001_g002_0022.T.CW.mat,0.05,10,-0.975,22
g002\a001_s001_g002_0023.T.CW.mat,0.05,10,-0.975,23
g002\a001_s001_g002_0024.T.CW.mat,0.05,10,-0.975,24
g002\a001_s001_g002_0025.T.CW.mat,0.05,10,-0.975,25
g002\a001_s001_g002_0026.T.CW.mat,0.05,10,-0.975,26
g002\a001_s001_g002_0027.T.CW.mat,0.05,10,-0.975,27
g002\a001_s001_g002_0028.T.CW.mat,0.05,10,-0.975,28
g002\a001_s001_g002_0029.T.CW.mat,0.05,10,-0.975,29
g002\a001_s001_g002_0030.T.CW.mat,0.05,10,-0.975,30
g002\a001_s001_g002_0031.T.CW.mat,0.05,10,-0.975,31
g002\a001_s001_g002_0032.T.CW.mat,0.05,10,-0.975,32
g002\a001_s001_g002_0033.T.CW.mat,0.05,10,-0.975,33
g002\a001_s001_g002_0034.T.CW.mat,0.05,10,-0.975,34
g002\a001_s001_g002_0035.T.CW.mat,0.05,10,-0.975,35
g002\a001_s001_g002_0036.T.CW.mat,0.05,10,-0.975,36
g002\a001_s001_g002_0037.T.CW.mat,0.05,10,-0.975,37
g002\a001_s001_g002_0038.T.CW.mat,0.05,10,-0.975,38
g002\a001_s001_g002_0039.T.CW.mat,0.05,10,-0.975,39
g002\a001_s001_g002_0040.T.CW.mat,0.05,10,-0.975,40
g002\a001_s001_g002_0041.T.CW.mat,0.05,10,-0.975,41
g002\a001_s001_g002_0042.T.CW.mat,0.05,10,-0.975,42
g002\a001_s001_g002_0043.T.CW.mat,0.05,10,-0.975,43
g002\a001_s001_g002_0044.T.CW.mat,0.05,10,-0.975,44
g002\a001_s001_g002_0045.T.CW.mat,0.05,10,-0.975,45
g002\a001_s001_g002_0046.T.CW.mat,0.05,10,-0.975,46
g002\a001_s001_g002_0047.T.CW.mat,0.05,10,-0.975,47
g002\a001_s001_g002_0048.T.CW.mat,0.05,10,-0.975,48
g002\a001_s001_g002_0049.T.CW.mat,0.05,10,-0.975,49
g002\a001_s001_g002_0050.T.CW.mat,0.05,10,-0.975,50
g002\a001_s001_g002_0051.T.CW.mat,0.05,10,-0.975,51
g002\a001_s001_g002_0052.T.CW.mat,0.05,10,-0.975,52
g002\a001_s001_g002_0053.T.CW.mat,0.05,10,-0.975,53
g002\a001_s001_g002_0054.T.CW.mat,0.05,10,-0.975,54
g002\a001_s001_g002_0055.T.CW.mat,0.05,10,-0.975,55
g002\a001_s001_g002_0056.T.CW.mat,0.05,10,-0.975,56
g002\a001_s001_g002_0057.T.CW.mat,0.05,10,-0.975,57
g002\a001_s001_g002_0058.T.CW.mat,0.05,10,-0.975,58
g002\a001_s001_g002_0059.T.CW.mat,0.05,10,-0.975,59
g002\a001_s001_g002_0060.T.CW.mat,0.05,10,-0.975,60
g002\a001_s001_g002_0061.T.CW.mat,0.05,10,-0.975,61
g002\a001_s001_g002_0062.T.CW.mat,0.05,10,-0.975,62
g002\a001_s001_g002_0063.T.CW.mat,0.05,10,-0.975,63
g002\a001_s001_g002_0064.T.CW.mat,0.05,10,-0.975,64
g002\a001_s001_g002_0065.T.CW.mat,0.05,10,-0.975,65
g002\a001_s001_g002_0066.T.CW.mat,0.05,10,-0.975,66
g002\a001_s001_g002_0067.T.CW.mat,0.05,10,-0.975,67
g002\a001_s001_g002_0068.T.CW.mat,0.05,10,-0.975,68
g002\a001_s001_g002_0069.T.CW.mat,0.05,10,-0.975,69
g002\a001_s001_g002_0070.T.CW.mat,0.05,10,-0.975,70
g002\a001_s001_g002_0071.T.CW.mat,0.05,10,-0.975,71
g002\a001_s001_g002_0072.T.CW.mat,0.05,10,-0.975,72
g002\a001_s001_g002_0073.T.CW.mat,0.05,10,-0.975,73
g002\a001_s001_g002_0074.T.CW.mat,0.05,10,-0.975,74
g002\a001_s001_g002_0075.T.CW.mat,0.05,10,-0.975,75
g002\a001_s001_g002_0076.T.CW.mat,0.05,10,-0.975,76
g002\a001_s001_g002_0077.T.CW.mat,0.05,10,-0.975,77
g002\a001_s001_g002_0078.T.CW.mat,0.05,10,-0.975,78
g002\a001_s001_g002_0079.T.CW.mat,0.05,10,-0.975,79
g002\a001_s001_g002_0080.T.CW.mat,0.05,10,-0.975,80
g002\a001_s001_g002_0081.T.CW.mat,0.05,10,-0.975,81
g002\a001_s001_g002_0082.T.CW.mat,0.05,10,-0.975,82
g002\a001_s001_g002_0083.T.CW.mat,0.05,10,-0.975,83
g002\a001_s001_g002_0084.T.CW.mat,0.05,10,-0.975,84
g002\a001_s001_g002_0085.T.CW.mat,0.05,10,-0.975,85
g002\a001_s001_g002_0086.T.CW.mat,0.05,10,-0.975,86
g002\a001_s001_g002_0087.T.CW.mat,0.05,10,-0.975,87
g002\a001_s001_g002_0088.T.CW.mat,0.05,10,-0.975,88
g002\a001_s001_g002_0089.T.CW.mat,0.05,10,-0.975,89
g002\a001_s001_g002_0090.T.CW.mat,0.05,10,-0.975,90
g002\a001_s001_g002_0091.T.CW.mat,0.05,10,-0.975,91
g002\a001_s001_g002_0092.T.CW.mat,0.05,10,-0.975,92
g002\a001_s001_g002_0093.T.CW.mat,0.05,10,-0.975,93
g002\a001_s001_g002_0094.T.CW.mat,0.05,10,-0.975,94
g002\a001_s001_g002_0095.T.CW.mat,0.05,10,-0.975,95
g002\a001_s001_g002_0096.T.CW.mat,0.05,10,-0.975,96
g002\a001_s001_g002_0097.T.CW.mat,0.05,10,-0.975,97
g002\a001_s001_g002_0098.T.CW.mat,0.05,10,-0.975,98
g002\a001_s001_g002_0099.T.CW.mat,0.05,10,-0.975,99
g002\a001_s001_g002_0100.T.CW.mat,0.05,10,-0.975,100
g003\a001_s001_g003_0001.T.CW.mat,0.05,10,-0.95,1
g003\a001_s001_g003_0002.T.CW.mat,0.05,10,-0.95,2
g003\a001_s001_g003_0003.T.CW.mat,0.05,10,-0.95,3
g003\a001_s001_g003_0004.T.CW.mat,0.05,10,-0.95,4
g003\a001_s001_g003_0005.T.CW.mat,0.05,10,-0.95,5
g003\a001_s001_g003_0006.T.CW.mat,0.05,10,-0.95,6
g003\a001_s001_g003_0007.T.CW.mat,0.05,10,-0.95,7
g003\a001_s001_g003_0008.T.CW.mat,0.05,10,-0.95,8
g003\a001_s001_g003_0009.T.CW.mat,0.05,10,-0.95,9
g003\a001_s001_g003_0010.T.CW.mat,0.05,10,-0.95,10
g003\a001_s001_g003_0011.T.CW.mat,0.05,10,-0.95,11
g003\a001_s001_g003_0012.T.CW.mat,0.05,10,-0.95,12
g003\a001_s001_g003_0013.T.CW.mat,0.05,10,-0.95,13
g003\a001_s001_g003_0014.T.CW.mat,0.05,10,-0.95,14
g003\a001_s001_g003_0015.T.CW.mat,0.05,10,-0.95,15
g003\a001_s001_g003_0016.T.CW.mat,0.05,10,-0.95,16
g003\a001_s001_g003_0017.T.CW.mat,0.05,10,-0.95,17
g003\a001_s001_g003_0018.T.CW.mat,0.05,10,-0.95,18
g003\a001_s001_g003_0019.T.CW.mat,0.05,10,-0.95,19
g003\a001_s001_g003_0020.T.CW.mat,0.05,10,-0.95,20
g003\a001_s001_g003_0021.T.CW.mat,0.05,10,-0.95,21
g003\a001_s001_g003_0022.T.CW.mat,0.05,10,-0.95,22
g003\a001_s001_g003_0023.T.CW.mat,0.05,10,-0.95,23
g003\a001_s001_g003_0024.T.CW.mat,0.05,10,-0.95,24
g003\a001_s001_g003_0025.T.CW.mat,0.05,10,-0.95,25
g003\a001_s001_g003_0026.T.CW.mat,0.05,10,-0.95,26
g003\a001_s001_g003_0027.T.CW.mat,0.05,10,-0.95,27
g003\a001_s001_g003_0028.T.CW.mat,0.05,10,-0.95,28
g003\a001_s001_g003_0029.T.CW.mat,0.05,10,-0.95,29
g003\a001_s001_g003_0030.T.CW.mat,0.05,10,-0.95,30
g003\a001_s001_g003_0031.T.CW.mat,0.05,10,-0.95,31
g003\a001_s001_g003_0032.T.CW.mat,0.05,10,-0.95,32
g003\a001_s001_g003_0033.T.CW.mat,0.05,10,-0.95,33
g003\a001_s001_g003_0034.T.CW.mat,0.05,10,-0.95,34
g003\a001_s001_g003_0035.T.CW.mat,0.05,10,-0.95,35
g003\a001_s001_g003_0036.T.CW.mat,0.05,10,-0.95,36
g003\a001_s001_g003_0037.T.CW.mat,0.05,10,-0.95,37
g003\a001_s001_g003_0038.T.CW.mat,0.05,10,-0.95,38
g003\a001_s001_g003_0039.T.CW.mat,0.05,10,-0.95,39
g003\a001_s001_g003_0040.T.CW.mat,0.05,10,-0.95,40
g003\a001_s001_g003_0041.T.CW.mat,0.05,10,-0.95,41
g003\a001_s001_g003_0042.T.CW.mat,0.05,10,-0.95,42
g003\a001_s001_g003_0043.T.CW.mat,0.05,10,-0.95,43
g003\a001_s001_g003_0044.T.CW.mat,0.05,10,-0.95,44
g003\a001_s001_g003_0045.T.CW.mat,0.05,10,-0.95,45
g003\a001_s001_g003_0046.T.CW.mat,0.05,10,-0.95,46
g003\a001_s001_g003_0047.T.CW.mat,0.05,10,-0.95,47
g003\a001_s001_g003_0048.T.CW.mat,0.05,10,-0.95,48
g003\a001_s001_g003_0049.T.CW.mat,0.05,10,-0.95,49
g003\a001_s001_g003_0050.T.CW.mat,0.05,10,-0.95,50
g003\a001_s001_g003_0051.T.CW.mat,0.05,10,-0.95,51
g003\a001_s001_g003_0052.T.CW.mat,0.05,10,-0.95,52
g003\a001_s001_g003_0053.T.CW.mat,0.05,10,-0.95,53
g003\a001_s001_g003_0054.T.CW.mat,0.05,10,-0.95,54
g003\a001_s001_g003_0055.T.CW.mat,0.05,10,-0.95,55
g003\a001_s001_g003_0056.T.CW.mat,0.05,10,-0.95,56
g003\a001_s001_g003_0057.T.CW.mat,0.05,10,-0.95,57
g003\a001_s001_g003_0058.T.CW.mat,0.05,10,-0.95,58
g003\a001_s001_g003_0059.T.CW.mat,0.05,10,-0.95,59
g003\a001_s001_g003_0060.T.CW.mat,0.05,10,-0.95,60
g003\a001_s001_g003_0061.T.CW.mat,0.05,10,-0.95,61
g003\a001_s001_g003_0062.T.CW.mat,0.05,10,-0.95,62
g003\a001_s001_g003_0063.T.CW.mat,0.05,10,-0.95,63
g003\a001_s001_g003_0064.T.CW.mat,0.05,10,-0.95,64
g003\a001_s001_g003_0065.T.CW.mat,0.05,10,-0.95,65
g003\a001_s001_g003_0066.T.CW.mat,0.05,10,-0.95,66
g003\a001_s001_g003_0067.T.CW.mat,0.05,10,-0.95,67
g003\a001_s001_g003_0068.T.CW.mat,0.05,10,-0.95,68
g003\a001_s001_g003_0069.T.CW.mat,0.05,10,-0.95,69
g003\a001_s001_g003_0070.T.CW.mat,0.05,10,-0.95,70
g003\a001_s001_g003_0071.T.CW.mat,0.05,10,-0.95,71
g003\a001_s001_g003_0072.T.CW.mat,0.05,10,-0.95,72
g003\a001_s001_g003_0073.T.CW.mat,0.05,10,-0.95,73
g003\a001_s001_g003_0074.T.CW.mat,0.05,10,-0.95,74
g003\a001_s001_g003_0075.T.CW.mat,0.05,10,-0.95,75
g003\a001_s001_g003_0076.T.CW.mat,0.05,10,-0.95,76
g003\a001_s001_g003_0077.T.CW.mat,0.05,10,-0.95,77
g003\a001_s001_g003_0078.T.CW.mat,0.05,10,-0.95,78
g003\a001_s001_g003_0079.T.CW.mat,0.05,10,-0.95,79
g003\a001_s001_g003_0080.T.CW.mat,0.05,10,-0.95,80
g003\a001_s001_g003_0081.T.CW.mat,0.05,10,-0.95,81
g003\a001_s001_g003_0082.T.CW.mat,0.05,10,-0.95,82
g003\a001_s001_g003_0083.T.CW.mat,0.05,10,-0.95,83
g003\a001_s001_g003_0084.T.CW.mat,0.05,10,-0.95,84
g003\a001_s001_g003_0085.T.CW.mat,0.05,10,-0.95,85
g003\a001_s001_g003_0086.T.CW.mat,0.05,10,-0.95,86
g003\a001_s001_g003_0087.T.CW.mat,0.05,10,-0.95,87
g003\a001_s001_g003_0088.T.CW.mat,0.05,10,-0.95,88
g003\a001_s001_g003_0089.T.CW.mat,0.05,10,-0.95,89
g003\a001_s001_g003_0090.T.CW.mat,0.05,10,-0.95,90
g003\a001_s001_g003_0091.T.CW.mat,0.05,10,-0.95,91
g003\a001_s001_g003_0092.T.CW.mat,0.05,10,-0.95,92
g003\a001_s001_g003_0093.T.CW.mat,0.05,10,-0.95,93
g003\a001_s001_g003_0094.T.CW.mat,0.05,10,-0.95,94
g003\a001_s001_g003_0095.T.CW.mat,0.05,10,-0.95,95
g003\a001_s001_g003_0096.T.CW.mat,0.05,10,-0.95,96
g003\a001_s001_g003_0097.T.CW.mat,0.05,10,-0.95,97
g003\a001_s001_g003_0098.T.CW.mat,0.05,10,-0.95,98
g003\a001_s001_g003_0099.T.CW.mat,0.05,10,-0.95,99
g003\a001_s001_g003_0100.T.CW.mat,0.05,10,-0.95,100
g004\a001_s001_g004_0001.T.CW.mat,0.05,10,-0.925,1
g004\a001_s001_g004_0002.T.CW.mat,0.05,10,-0.925,2
g004\a001_s001_g004_0003.T.CW.mat,0.05,10,-0.925,3
g004\a001_s001_g004_0004.T.CW.mat,0.05,10,-0.925,4
g004\a001_s001_g004_0005.T.CW.mat,0.05,10,-0.925,5
g004\a001_s001_g004_0006.T.CW.mat,0.05,10,-0.925,6
g004\a001_s001_g004_0007.T.CW.mat,0.05,10,-0.925,7
g004\a001_s001_g004_0008.T.CW.mat,0.05,10,-0.925,8
g004\a001_s001_g004_0009.T.CW.mat,0.05,10,-0.925,9
g004\a001_s001_g004_0010.T.CW.mat,0.05,10,-0.925,10
g004\a001_s001_g004_0011.T.CW.mat,0.05,10,-0.925,11
g004\a001_s001_g004_0012.T.CW.mat,0.05,10,-0.925,12
g004\a001_s001_g004_0013.T.CW.mat,0.05,10,-0.925,13
g004\a001_s001_g004_0014.T.CW.mat,0.05,10,-0.925,14
g004\a001_s001_g004_0015.T.CW.mat,0.05,10,-0.925,15
g004\a001_s001_g004_0016.T.CW.mat,0.05,10,-0.925,16
g004\a001_s001_g004_0017.T.CW.mat,0.05,10,-0.925,17
g004\a001_s001_g004_0018.T.CW.mat,0.05,10,-0.925,18
g004\a001_s001_g004_0019.T.CW.mat,0.05,10,-0.925,19
g004\a001_s001_g004_0020.T.CW.mat,0.05,10,-0.925,20
g004\a001_s001_g004_0021.T.CW.mat,0.05,10,-0.925,21
g004\a001_s001_g004_0022.T.CW.mat,0.05,10,-0.925,22
g004\a001_s001_g004_0023.T.CW.mat,0.05,10,-0.925,23
g004\a001_s001_g004_0024.T.CW.mat,0.05,10,-0.925,24
g004\a001_s001_g004_0025.T.CW.mat,0.05,10,-0.925,25
g004\a001_s001_g004_0026.T.CW.mat,0.05,10,-0.925,26
g004\a001_s001_g004_0027.T.CW.mat,0.05,10,-0.925,27
g004\a001_s001_g004_0028.T.CW.mat,0.05,10,-0.925,28
g004\a001_s001_g004_0029.T.CW.mat,0.05,10,-0.925,29
g004\a001_s001_g004_0030.T.CW.mat,0.05,10,-0.925,30
g004\a001_s001_g004_0031.T.CW.mat,0.05,10,-0.925,31
g004\a001_s001_g004_0032.T.CW.mat,0.05,10,-0.925,32
g004\a001_s001_g004_0033.T.CW.mat,0.05,10,-0.925,33
g004\a001_s001_g004_0034.T.CW.mat,0.05,10,-0.925,34
g004\a001_s001_g004_0035.T.CW.mat,0.05,10,-0.925,35
g004\a001_s001_g004_0036.T.CW.mat,0.05,10,-0.925,36
g004\a001_s001_g004_0037.T.CW.mat,0.05,10,-0.925,37
g004\a001_s001_g004_0038.T.CW.mat,0.05,10,-0.925,38
g004\a001_s001_g004_0039.T.CW.mat,0.05,10,-0.925,39
g004\a001_s001_g004_0040.T.CW.mat,0.05,10,-0.925,40
g004\a001_s001_g004_0041.T.CW.mat,0.05,10,-0.925,41
g004\a001_s001_g004_0042.T.CW.mat,0.05,10,-0.925,42
g004\a001_s001_g004_0043.T.CW.mat,0.05,10,-0.925,43
g004\a001_s001_g004_0044.T.CW.mat,0.05,10,-0.925,44
g004\a001_s001_g004_0045.T.CW.mat,0.05,10,-0.925,45
g004\a001_s001_g004_0046.T.CW.mat,0.05,10,-0.925,46
g004\a001_s001_g004_0047.T.CW.mat,0.05,10,-0.925,47
g004\a001_s001_g004_0048.T.CW.mat,0.05,10,-0.925,48
g004\a001_s001_g004_0049.T.CW.mat,0.05,10,-0.925,49
g004\a001_s001_g004_0050.T.CW.mat,0.05,10,-0.925,50
g004\a001_s001_g004_0051.T.CW.mat,0.05,10,-0.925,51
g004\a001_s001_g004_0052.T.CW.mat,0.05,10,-0.925,52
g004\a001_s001_g004_0053.T.CW.mat,0.05,10,-0.925,53
g004\a001_s001_g004_0054.T.CW.mat,0.05,10,-0.925,54
g004\a001_s001_g004_0055.T.CW.mat,0.05,10,-0.925,55
g004\a001_s001_g004_0056.T.CW.mat,0.05,10,-0.925,56
g004\a001_s001_g004_0057.T.CW.mat,0.05,10,-0.925,57
g004\a001_s001_g004_0058.T.CW.mat,0.05,10,-0.925,58
g004\a001_s001_g004_0059.T.CW.mat,0.05,10,-0.925,59
g004\a001_s001_g004_0060.T.CW.mat,0.05,10,-0.925,60
g004\a001_s001_g004_0061.T.CW.mat,0.05,10,-0.925,61
g004\a001_s001_g004_0062.T.CW.mat,0.05,10,-0.925,62
g004\a001_s001_g004_0063.T.CW.mat,0.05,10,-0.925,63
g004\a001_s001_g004_0064.T.CW.mat,0.05,10,-0.925,64
g004\a001_s001_g004_0065.T.CW.mat,0.05,10,-0.925,65
g004\a001_s001_g004_0066.T.CW.mat,0.05,10,-0.925,66
g004\a001_s001_g004_0067.T.CW.mat,0.05,10,-0.925,67
g004\a001_s001_g004_0068.T.CW.mat,0.05,10,-0.925,68
g004\a001_s001_g004_0069.T.CW.mat,0.05,10,-0.925,69
g004\a001_s001_g004_0070.T.CW.mat,0.05,10,-0.925,70
g004\a001_s001_g004_0071.T.CW.mat,0.05,10,-0.925,71
g004\a001_s001_g004_0072.T.CW.mat,0.05,10,-0.925,72
g004\a001_s001_g004_0073.T.CW.mat,0.05,10,-0.925,73
g004\a001_s001_g004_0074.T.CW.mat,0.05,10,-0.925,74
g004\a001_s001_g004_0075.T.CW.mat,0.05,10,-0.925,75
g004\a001_s001_g004_0076.T.CW.mat,0.05,10,-0.925,76
g004\a001_s001_g004_0077.T.CW.mat,0.05,10,-0.925,77
g004\a001_s001_g004_0078.T.CW.mat,0.05,10,-0.925,78
g004\a001_s001_g004_0079.T.CW.mat,0.05,10,-0.925,79
g004\a001_s001_g004_0080.T.CW.mat,0.05,10,-0.925,80
g004\a001_s001_g004_0081.T.CW.mat,0.05,10,-0.925,81
g004\a001_s001_g004_0082.T.CW.mat,0.05,10,-0.925,82
g004\a001_s001_g004_0083.T.CW.mat,0.05,10,-0.925,83
g004\a001_s001_g004_0084.T.CW.mat,0.05,10,-0.925,84
g004\a001_s001_g004_0085.T.CW.mat,0.05,10,-0.925,85
g004\a001_s001_g004_0086.T.CW.mat,0.05,10,-0.925,86
g004\a001_s001_g004_0087.T.CW.mat,0.05,10,-0.925,87
g004\a001_s001_g004_0088.T.CW.mat,0.05,10,-0.925,88
g004\a001_s001_g004_0089.T.CW.mat,0.05,10,-0.925,89
g004\a001_s001_g004_0090.T.CW.mat,0.05,10,-0.925,90
g004\a001_s001_g004_0091.T.CW.mat,0.05,10,-0.925,91
g004\a001_s001_g004_0092.T.CW.mat,0.05,10,-0.925,92
g004\a001_s001_g004_0093.T.CW.mat,0.05,10,-0.925,93
